Date,Close,High,Low,Open,Volume
2000-01-03,5.524476051330566,5.641369369268751,5.275442529218213,5.572758119475668,5847525
2000-01-04,5.12805700302124,5.64137051419779,5.122974183115382,5.626123624867414,6174900
2000-01-05,5.168715476989746,5.255114518240591,4.960340271754066,5.183961843159838,4301100
2000-01-06,5.031494140625,5.173799001087851,4.909517947699658,5.087399939337659,4924125
2000-01-07,4.899353504180908,5.067069317214648,4.777377843966602,5.067069317214648,6891075
2000-01-10,5.255116939544678,5.326269647409163,5.001000948327116,5.031495265104839,8261325
2000-01-11,5.067067623138428,5.341512635999602,5.006080075152531,5.214455244362318,5285925
2000-01-12,5.4736552238464355,5.570218874191454,5.082316754692292,5.133140252020588,9172575
2000-01-13,5.7938408851623535,5.814170072447538,5.46857231821209,5.641370933598594,7504650
2000-01-14,5.422830104827881,5.915814326699867,5.407583218699475,5.875155963690786,19287450
2000-01-18,5.361844062805176,5.554971341216259,5.326267461740697,5.488901482812468,6413850
2000-01-19,5.483819007873535,5.610876947215861,5.366925661801601,5.438077814694348,3897450
2000-01-20,5.707440376281738,5.712522672732605,5.529559477039003,5.590547557911804,4116825
2000-01-21,5.38725471496582,5.717605558462076,5.356760935909603,5.717605558462076,6173550
2000-01-24,5.265277862548828,5.6718624961545085,5.204289277622178,5.3821711671819115,2602800
2000-01-25,5.488901138305664,5.488901138305664,5.148386227133415,5.290691052072361,3282525
2000-01-26,5.234785556793213,5.5803833070203295,5.163632878657877,5.493983738597942,2889000
2000-01-27,5.051820278167725,5.504146074908346,4.970503563317574,5.270359996251943,5478300
2000-01-28,4.731634140014648,5.051820274917792,4.594411660331077,5.041655685568061,5796900
2000-01-31,5.1128106117248535,5.112810611724853,4.574084987235778,4.726554434464053,5984550
2000-02-01,5.117892742156982,5.223351065314717,4.879024245923778,5.056905174641055,3642300
2000-02-02,5.224621772766113,5.326267713577983,5.006081429633208,5.143303973191694,2467125
2000-02-03,5.651536464691162,5.69219484600575,5.305939176592121,5.305939176592121,5771250
2000-02-04,5.516852855682373,5.702357422934101,5.448241606066655,5.570216695639228,6959250
2000-02-07,5.651536464691162,5.702359964796922,5.443161736991378,5.468573225312995,2132325
2000-02-08,5.774781227111816,6.0911556223576415,5.687111220278183,5.732851888575659,5495850
2000-02-09,5.801463603973389,5.9615567406597245,5.595629795432005,5.854828506331279,3264300
2000-02-10,6.068285942077637,6.098779199450716,5.801463527648329,5.847204722364042,3723300
2000-02-11,5.824333190917969,6.144518885265402,5.748098751055415,6.083531333375359,3567600
2000-02-14,6.007297039031982,6.197884468568351,5.793840583646004,5.809086949854019,2519100
2000-02-15,5.847202777862549,6.037789629898068,5.732850352563879,5.961554679698955,4229550
2000-02-16,5.870074272155762,6.098778654927375,5.854827906561697,5.976803542475731,3726000
2000-02-17,6.068285942077637,6.098779199450716,5.793840867633105,6.068285942077637,2547900
2000-02-18,5.809089183807373,6.060664268771598,5.732854182675762,6.053040559273392,2821950
2000-02-22,5.748101234436035,5.915817598055337,5.5346436636750465,5.809088812674843,2858850
2000-02-23,6.030165672302246,6.190258746921132,5.717603750611432,5.717603750611432,3325500
2000-02-24,6.563807010650635,6.601924474159856,6.030164091907854,6.033976466413301,5243400
2000-02-25,6.228378772735596,6.746775159061775,6.228378772735596,6.6476695826593755,3921300
2000-02-28,6.5028252601623535,6.5866834402436885,6.022546259311251,6.24362701106433,4579200
2000-02-29,7.615851402282715,7.753073950071593,6.739151733246832,6.739151733246832,10793700
2000-03-01,7.551050186157227,7.714955682669142,7.303288108678319,7.600603229807876,8995950
2000-03-02,7.539614677429199,7.9894002309623975,7.211805798812588,7.6063205324795184,6065100
2000-03-03,8.210480690002441,8.233351284725249,7.669214310415819,7.684461199076898,5350050
2000-03-06,8.553536415100098,9.148168173444489,8.233350727945231,8.26384502666759,5841000
2000-03-07,8.812735557556152,9.437860639045429,8.172364110159101,8.827981923463929,6177600
2000-03-08,8.477303504943848,9.392120648360978,8.29434028564541,9.148170387246351,6322950
2000-03-09,8.370573997497559,8.64501904659584,8.012270797115068,8.538290823528365,5040450
2000-03-10,8.43918514251709,8.660265815278718,8.378197587325902,8.416314547589202,6334650
2000-03-13,7.8826727867126465,8.30958784493749,7.745450238986797,8.111377207409886,2304450
2000-03-14,7.364274978637695,8.614523949684344,7.318533792369943,8.141868863641399,6957000
2000-03-15,7.2422990798950195,7.5624853009282,6.983101458290577,7.303287679323757,7369200
2000-03-16,7.417639255523682,7.501497398030893,6.5561861906749925,7.349028000430296,5244750
2000-03-17,7.745449542999268,7.791190213643578,7.1050775366667756,7.135571840558746,6638400
2000-03-20,7.554867267608643,8.080887098582362,7.531996658101015,7.836935675376715,4648050
2000-03-21,7.890297889709473,8.202860007671521,7.356654496011059,7.615852745719579,2932650
2000-03-22,7.951284885406494,8.111378048848163,7.846462560319871,7.974155486887455,3646800
