Date,Close,High,Low,Open,Volume
2000-01-03,2.403312921524048,2.458561462240033,2.3342522456290666,2.4171250567030445,4920750
2000-01-04,2.292813539505005,2.434387470601941,2.27900121933622,2.392951310311113,2552259
2000-01-05,2.386046886444092,2.4482014695825884,2.2824557144925786,2.2859090469701906,3158241
2000-01-06,2.3549699783325195,2.4171243688975426,2.313533184478389,2.3791411079906903,5295881
2000-01-07,2.4447481632232666,2.4447481632232666,2.2928151362584814,2.3515163875464964,4016334
2000-01-10,2.544888496398926,2.544888496398926,2.4309382413298195,2.455109386311648,2676038
2000-01-11,2.3549699783325195,2.517262420477504,2.3100804517472833,2.517262420477504,2969156
2000-01-12,2.327345132827759,2.3964057777075713,2.2928150104418625,2.3894997132195903,3131663
2000-01-13,2.4102180004119873,2.4309363947356375,2.313532893766353,2.320438958522897,2010066
2000-01-14,2.4171249866485596,2.4896385942096098,2.3653293812014433,2.4447490561518355,2089041
2000-01-18,2.4516546726226807,2.472373071034189,2.375687945312028,2.4033124098426866,2206744
2000-01-19,2.434389352798462,2.489637875974569,2.365328698828328,2.489637875974569,3023072
2000-01-20,2.3756868839263916,2.4585598403851012,2.320438379656564,2.456833374640161,1883250
2000-01-21,2.3756868839263916,2.472371966452558,2.320438379656564,2.472371966452558,2895497
2000-01-24,2.2824556827545166,2.389499785587131,2.258284556341549,2.3825935208359788,3926728
2000-01-25,2.306626081466675,2.320438206503459,2.223753731353876,2.275548900160887,4102903
2000-01-26,2.265190362930298,2.3480631298529446,2.247925303181743,2.341157065942724,1772381
2000-01-27,2.3135335445404053,2.3480640780902404,2.2444728775488842,2.2600114776084577,2916759
2000-01-28,2.2168474197387695,2.272095918663658,2.196129232641937,2.2375654067816537,3236456
2000-01-31,2.2893617153167725,2.313532841390459,2.234113198515187,2.244472195388478,3531853
2000-02-01,2.3411571979522705,2.38259338369604,2.3066266764001204,2.3618755909051625,3476419
2000-02-02,2.299722194671631,2.3480648780904203,2.2651920494653113,2.3480648780904203,2563650
2000-02-03,2.3480639457702637,2.365329011518172,2.2893622821084367,2.3238928137123795,3098250
2000-02-04,2.3204381465911865,2.382592707651923,2.3135320842511047,2.3687809830796556,2862844
2000-02-07,2.33770489692688,2.354970565427174,2.31353376124284,2.31353376124284,5082497
2000-02-08,2.379141330718994,2.3825940637733347,2.348063932473064,2.361876265068859,3278981
2000-02-09,2.3515167236328125,2.382593919948715,2.3446106577788286,2.375687854094731,3799913
2000-02-10,2.368781566619873,2.375687230553243,2.330798114365372,2.361875502578509,3367069
2000-02-11,2.342020273208618,2.379140288127447,2.341156840255831,2.368781293287717,2550741
2000-02-14,2.396407127380371,2.403313195757897,2.2928163017716043,2.337705246090216,2645663
2000-02-15,2.3998591899871826,2.430936583836124,2.323892471755812,2.3964060573132855,2483156
2000-02-16,2.4930436611175537,2.5034746982561478,2.4130713020136,2.4339335777360507,3935841
2000-02-17,2.4999985694885254,2.5139067600870995,2.426980669568692,2.49304487707996,2885625
2000-02-18,2.4895670413970947,2.4999980815876177,2.4478426791896815,2.4826129474549723,5579128
2000-02-22,2.5173838138580322,2.5764933147825966,2.4617506551155275,2.482613140005301,5604947
