Date,Close,High,Low,Open,Volume
2000-01-03,303.1283264160156,313.4790497570503,283.9055544969512,310.52170023104037,847700
2000-01-04,319.39373779296875,338.61650904902706,303.1283159609194,303.86765331692163,972750
2000-01-05,354.5123291015625,379.8346383231027,323.0904855419871,326.7871730195842,1605417
2000-01-06,340.09521484375,379.28009829313856,321.61177925441575,363.01467497452444,1175267
2000-01-07,338.6164855957031,359.31793012993825,329.0051006333797,353.0335630391883,339417
2000-01-10,320.8724670410156,352.6639787524527,312.73975474274107,347.1189476399927,2018800
2000-01-11,312.3701171875,337.137925295858,306.8250855214497,317.9151488535503,842983
2000-01-12,302.38897705078125,320.50274217974004,301.6496396985789,317.17572409482926,283767
2000-01-13,305.34637451171875,314.588092868611,295.73498742055085,314.12600695076634,299467
2000-01-14,336.3985290527344,337.13786647922393,309.0430442726219,310.52171912560095,789733
2000-01-18,350.0762939453125,350.8156314193258,328.26583846191926,329.7445134099459,572700
2000-01-19,369.2990417480469,371.88672272125643,344.9009068577855,348.96726267282907,710433
2000-01-20,366.3417053222656,366.7113740461024,348.9672753019362,365.602367874592,580500
2000-01-21,375.5834045410156,381.4981038251261,363.7540059727947,368.92936784639136,825317
2000-01-24,354.5123291015625,381.1284789402617,351.9246478672445,378.171128958184,401500
2000-01-25,372.2564392089844,374.1047829985027,331.22320708167825,353.77300131380144,414783
2000-01-26,391.8488464355469,402.5692394040666,374.10474772903154,376.69242879039837,878317
2000-01-27,379.28009033203125,409.5929240622716,372.9957223635668,400.7208751656159,1031917
2000-01-28,352.6639709472656,379.64978843065177,343.0525838983884,378.9104509653535,568800
2000-01-31,343.0525817871094,354.1426436983306,334.1805322581324,353.4033062375825,343917
2000-02-01,338.6164855957031,345.27052133885013,333.44112446214433,345.27052133885013,205517
2000-02-02,352.2942810058594,366.71136071124084,338.61653872126675,338.61653872126675,390067
2000-02-03,352.2942810058594,365.23268586966327,342.3132258252107,360.4269926345361,354067
2000-02-04,357.0999450683594,366.7113307534291,350.44590882484954,363.75398131186915,246950
2000-02-07,356.36065673828125,365.9720437457453,343.05258242025417,346.7492697308172,329717
2000-02-08,343.4222412109375,357.09998386411803,333.4411857613193,356.36064642340557,1567083
2000-02-09,345.6402587890625,351.18528967872663,334.1805282837567,345.6402587890625,529117
