Date,Close,High,Low,Open,Volume
2000-01-03,6.628224849700928,6.846258561862142,6.6064214784848065,6.846258561862142,2738600
2000-01-04,6.780852317810059,6.802655701468612,6.6282286322001855,6.650032015858739,425200
2000-01-05,7.042492389678955,7.042492389678955,6.780851805542276,6.780851805542276,500200
2000-01-06,6.977080821990967,7.02068757712841,6.911670689284801,7.02068757712841,344100
2000-01-07,6.977080821990967,6.977080821990967,6.933474066853523,6.977080821990967,469500
2000-01-10,6.977080821990967,6.998884199559688,6.933474066853523,6.998884199559688,522000
2000-01-11,6.977080821990967,6.998884199559688,6.9552774444222445,6.9552774444222445,557400
2000-01-12,7.129704475402832,7.173311230604073,6.9770808321984905,6.9770808321984905,410500
2000-01-13,7.107901573181152,7.151508331298828,7.064294815063477,7.107901573181152,308000
2000-01-14,7.129704475402832,7.129704475402832,7.02068758739973,7.107901097802212,659100
2000-01-18,6.9116716384887695,7.086098682993217,6.868064877362657,7.086098682993217,843200
2000-01-19,6.9116716384887695,6.9334750190518255,6.868064877362657,6.889868257925713,578200
2000-01-20,6.846261501312256,6.933475023621965,6.824458120734827,6.911671643044538,566200
2000-01-21,6.889869689941406,6.95527984522566,6.846262919751903,6.846262919751903,1021700
2000-01-24,6.868064880371094,6.911671641516307,6.846261499798487,6.8898682609437,649100
2000-01-25,6.802653789520264,6.868063922111805,6.737243656928723,6.868063922111805,344900
2000-01-26,6.671835899353027,6.846262981689054,6.6282291287690205,6.846262981689054,1137000
2000-01-27,6.737245082855225,6.802655229290711,6.693638318564899,6.715441700710062,493400
2000-01-28,6.715442180633545,6.802655715446967,6.715442180633545,6.7372455643369005,289700
2000-01-31,6.715442180633545,6.759048948040256,6.671835413226833,6.715442180633545,526700
2000-02-01,6.715442180633545,6.759048948040256,6.671835413226833,6.759048948040256,446600
2000-02-02,6.650028705596924,6.780848942428339,6.650028705596924,6.759045569623103,313200
2000-02-03,6.846261501312256,6.868064881889683,6.693637837270263,6.693637837270263,483400
2000-02-04,6.737245082855225,6.846261993581037,6.671834936419737,6.846261993581037,336400
2000-02-07,6.650028705596924,6.737242196817867,6.628225332791688,6.737242196817867,348300
