Date,Close,High,Low,Open,Volume
2000-01-03,6.400437355041504,6.492309664926933,6.002324479491378,6.492309664926933,2811000
2000-01-04,6.140132904052734,6.454029727126058,6.032948075935916,6.369813677260068,3501000
2000-01-05,6.209036827087402,6.323877207977243,6.094196446197562,6.170756232837416,4150800
2000-01-06,6.243487358093262,6.369811745037988,6.109506714054046,6.132474784407632,4867200
2000-01-07,6.5573859214782715,6.6301179309803215,6.1860689138003275,6.239660625673385,4119600
2000-01-10,6.706676483154297,6.798548763745451,6.568868062267565,6.614804202563142,3739200
2000-01-11,6.316220283508301,6.637773316123269,6.270284135991877,6.637773316123269,4960200
2000-01-12,6.140132904052734,6.293253185880926,6.140132904052734,6.277941367977134,6217200
2000-01-13,6.653087139129639,6.660743399669209,6.124821283293805,6.124821283293805,3813000
2000-01-14,6.683708190917969,6.813860350454072,6.553556031381865,6.676051934146486,4094400
2000-01-18,6.775583744049072,6.813863644552845,6.538246678693222,6.591839100142656,3724200
2000-01-19,6.369812488555908,6.798549618224011,6.316220084498659,6.798549618224011,2766600
2000-01-20,6.277940273284912,6.446372343647185,6.247315941887239,6.423404270331423,4929600
2000-01-21,6.032947540283203,6.247316476553379,5.987011389720311,6.216692142534773,6145200
2000-01-24,6.009981632232666,6.094198405920334,6.002326071664903,6.025294155228761,4268400
2000-01-25,5.787955284118652,5.964043637161446,5.506596697161252,5.964043637161446,9273600
2000-01-26,5.841547012329102,5.956387381503789,5.764986532569314,5.787954606404251,3980400
2000-01-27,5.826236248016357,5.9717009930283975,5.757332005789107,5.849204328758775,3172800
2000-01-28,5.4970269203186035,5.879827987975735,5.466402582571191,5.749675779176936,8240400
2000-01-31,5.738192081451416,5.772644200617709,5.535307146050974,5.558275225495169,5680200
2000-02-01,5.696082592010498,5.8032667082168174,5.631006145958436,5.768814595765141,3029400
2000-02-02,5.91544771194458,5.923150352878281,5.678599083878709,5.769101765262178,4963800
2000-02-03,6.000173091888428,6.108007228985702,5.799910802556119,5.884637020124361,4025400
2000-02-04,6.084901332855225,6.19273478813713,5.946258016702901,5.977067172396947,3230400
2000-02-07,5.591948509216309,6.1157120463705565,5.545734058726918,6.084902882828663,4764000
2000-02-08,5.376280307769775,5.761401160611541,5.052779186281521,5.7459958751849225,10329000
2000-02-09,5.245338439941406,5.368577169918041,5.114397774149955,5.3608745289268995,18115200
2000-02-10,4.960349082946777,5.1914212561457935,4.898730071819143,5.1914212561457935,12369600
2000-02-11,4.783193588256836,4.975753951667311,4.744681797645241,4.9680513114744915,11291400
2000-02-14,4.910284042358398,5.021969169361023,4.713872680664062,4.8294087757783775,8201400
2000-02-15,5.021968841552734,5.08358785319941,4.736979590481268,4.806301243024897,6927600
2000-02-16,4.860218048095703,4.991158704988811,4.837110831868903,4.975754129229703,3496800
2000-02-17,4.998860836029053,5.0142654102183,4.837110338925236,4.929539194413132,3594000
2000-02-18,4.606037616729736,5.060479196919511,4.55982319484006,5.052776558212527,7429200
