Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,122.87999725341795,122.87999725341795,123.83999633789062,119.83999633789062,121.1500015258789,2062500.0
2020-01-03,123.04000091552734,123.04000091552734,123.62999725341795,120.81999969482422,121.0199966430664,1223600.0
2020-01-04,123.04000091552734,123.04000091552734,123.62999725341795,120.81999969482422,121.0199966430664,1223600.0
2020-01-05,123.04000091552734,123.04000091552734,123.62999725341795,120.81999969482422,121.0199966430664,1223600.0
2020-01-06,127.69000244140624,127.69000244140624,128.02999877929688,122.052001953125,122.55999755859376,3583800.0
2020-01-07,128.14999389648438,128.14999389648438,129.1999969482422,127.3249969482422,128.22999572753906,1560400.0
2020-01-08,130.05999755859375,130.05999755859375,131.80999755859375,127.33000183105467,128.32000732421875,1570400.0
2020-01-09,135.41000366210938,135.41000366210938,135.60000610351562,131.6999969482422,131.82000732421875,2034300.0
2020-01-10,133.89999389648438,133.89999389648438,137.4499969482422,133.25999450683594,135.6699981689453,1243800.0
2020-01-11,133.89999389648438,133.89999389648438,137.4499969482422,133.25999450683594,135.6699981689453,1243800.0
2020-01-12,133.89999389648438,133.89999389648438,137.4499969482422,133.25999450683594,135.6699981689453,1243800.0
2020-01-13,136.07000732421875,136.07000732421875,140.49000549316406,135.14999389648438,138.58999633789062,1602500.0
2020-01-14,134.22000122070312,134.22000122070312,136.5,134.00999450683594,135.4600067138672,1147000.0
2020-01-15,134.91000366210938,134.91000366210938,137.22000122070312,134.30999755859375,134.30999755859375,994900.0
2020-01-16,134.72000122070312,134.72000122070312,135.97999572753906,134.30999755859375,135.72000122070312,737700.0
2020-01-17,132.85000610351562,132.85000610351562,135.5449981689453,132.4199981689453,135.11000061035156,2002600.0
2020-01-18,132.85000610351562,132.85000610351562,135.5449981689453,132.4199981689453,135.11000061035156,2002600.0
2020-01-19,132.85000610351562,132.85000610351562,135.5449981689453,132.4199981689453,135.11000061035156,2002600.0
2020-01-20,132.85000610351562,132.85000610351562,135.5449981689453,132.4199981689453,135.11000061035156,2002600.0
2020-01-21,131.32000732421875,131.32000732421875,133.49000549316406,130.3300018310547,132.1999969482422,1078500.0
2020-01-22,131.4600067138672,131.4600067138672,133.85800170898438,131.35000610351562,132.60000610351562,1314400.0
2020-01-23,132.63999938964844,132.63999938964844,133.38999938964844,130.52999877929688,131.55999755859375,2472900.0
2020-01-24,146.7899932861328,146.7899932861328,150.7100067138672,140.64999389648438,145.0,8033700.0
2020-01-25,146.7899932861328,146.7899932861328,150.7100067138672,140.64999389648438,145.0,8033700.0
2020-01-26,146.7899932861328,146.7899932861328,150.7100067138672,140.64999389648438,145.0,8033700.0
2020-01-27,143.8300018310547,143.8300018310547,146.49000549316406,141.99000549316406,143.5,2569200.0
2020-01-28,149.27000427246094,149.27000427246094,150.0,143.7100067138672,145.02000427246094,2378400.0
2020-01-29,149.14999389648438,149.14999389648438,151.52000427246094,147.5959930419922,149.16000366210938,1926800.0
2020-01-30,149.5800018310547,149.5800018310547,151.8699951171875,146.2100067138672,146.94000244140625,1351100.0
2020-01-31,147.0,147.0,149.7899932861328,146.27000427246094,149.52000427246094,991300.0
2020-02-01,147.0,147.0,149.7899932861328,146.27000427246094,149.52000427246094,991300.0
2020-02-02,147.0,147.0,149.7899932861328,146.27000427246094,149.52000427246094,991300.0
2020-02-03,149.39999389648438,149.39999389648438,149.47999572753906,144.72000122070312,146.89999389648438,910200.0
2020-02-04,152.08999633789062,152.08999633789062,152.68499755859375,148.5500030517578,149.7100067138672,1523300.0
2020-02-05,146.5800018310547,146.5800018310547,153.6999969482422,144.52000427246094,153.00999450683594,1644400.0
2020-02-06,147.94000244140625,147.94000244140625,149.1199951171875,144.7100067138672,146.5800018310547,1352600.0
2020-02-07,148.0,148.0,150.66299438476562,146.67999267578125,148.08999633789062,1020500.0
2020-02-08,148.0,148.0,150.66299438476562,146.67999267578125,148.08999633789062,1020500.0
2020-02-09,148.0,148.0,150.66299438476562,146.67999267578125,148.08999633789062,1020500.0
2020-02-10,151.27999877929688,151.27999877929688,152.3800048828125,148.02000427246094,148.10000610351562,1404100.0
2020-02-11,149.0,149.0,153.0,147.19000244140625,152.47999572753906,942200.0
2020-02-12,151.5399932861328,151.5399932861328,151.58999633789062,146.61000061035156,149.4600067138672,1615000.0
2020-02-13,153.25,153.25,155.0,149.94000244140625,150.52999877929688,2068100.0
2020-02-14,154.4199981689453,154.4199981689453,154.49000549316406,151.64999389648438,153.24000549316406,1043700.0
2020-02-15,154.4199981689453,154.4199981689453,154.49000549316406,151.64999389648438,153.24000549316406,1043700.0
2020-02-16,154.4199981689453,154.4199981689453,154.49000549316406,151.64999389648438,153.24000549316406,1043700.0
2020-02-17,154.4199981689453,154.4199981689453,154.49000549316406,151.64999389648438,153.24000549316406,1043700.0
2020-02-18,153.8800048828125,153.8800048828125,155.7779998779297,152.61500549316406,154.0500030517578,1620900.0
2020-02-19,152.0500030517578,152.0500030517578,156.1199951171875,151.3000030517578,153.92999267578125,2000000.0
