Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,265.0199890136719,265.0199890136719,265.260009765625,260.489990234375,261.5299987792969,445500.0
2020-01-03,264.7699890136719,264.7699890136719,266.3900146484375,259.989990234375,260.8699951171875,399100.0
2020-01-04,264.7699890136719,264.7699890136719,266.3900146484375,259.989990234375,260.8699951171875,399100.0
2020-01-05,264.7699890136719,264.7699890136719,266.3900146484375,259.989990234375,260.8699951171875,399100.0
2020-01-06,266.92999267578125,266.92999267578125,267.17999267578125,261.32000732421875,263.8999938964844,579000.0
2020-01-07,266.1199951171875,266.1199951171875,269.4599914550781,265.3699951171875,267.2900085449219,418400.0
2020-01-08,271.67999267578125,271.67999267578125,274.6499938964844,266.1099853515625,267.8900146484375,717500.0
2020-01-09,277.94000244140625,277.94000244140625,278.19000244140625,271.989990234375,273.94000244140625,567600.0
2020-01-10,281.6400146484375,281.6400146484375,283.739990234375,277.3299865722656,279.5299987792969,578000.0
2020-01-11,281.6400146484375,281.6400146484375,283.739990234375,277.3299865722656,279.5299987792969,578000.0
2020-01-12,281.6400146484375,281.6400146484375,283.739990234375,277.3299865722656,279.5299987792969,578000.0
2020-01-13,282.2900085449219,282.2900085449219,284.3500061035156,280.0199890136719,281.75,478900.0
2020-01-14,284.0199890136719,284.0199890136719,285.45001220703125,279.8299865722656,281.54998779296875,468500.0
2020-01-15,288.489990234375,288.489990234375,288.9200134277344,282.6600036621094,285.1300048828125,501900.0
2020-01-16,289.9200134277344,289.9200134277344,291.5,287.19000244140625,289.0299987792969,363900.0
2020-01-17,285.79998779296875,285.79998779296875,291.0400085449219,285.2099914550781,290.8800048828125,608100.0
2020-01-18,285.79998779296875,285.79998779296875,291.0400085449219,285.2099914550781,290.8800048828125,608100.0
2020-01-19,285.79998779296875,285.79998779296875,291.0400085449219,285.2099914550781,290.8800048828125,608100.0
2020-01-20,285.79998779296875,285.79998779296875,291.0400085449219,285.2099914550781,290.8800048828125,608100.0
2020-01-21,284.8399963378906,284.8399963378906,287.42999267578125,283.7099914550781,284.6400146484375,654500.0
2020-01-22,287.6199951171875,287.6199951171875,290.1400146484375,285.1499938964844,285.1499938964844,401800.0
2020-01-23,285.8999938964844,285.8999938964844,287.989990234375,283.45001220703125,287.8599853515625,454300.0
2020-01-24,280.7699890136719,280.7699890136719,289.25,279.17999267578125,288.2099914550781,345100.0
2020-01-25,280.7699890136719,280.7699890136719,289.25,279.17999267578125,288.2099914550781,345100.0
2020-01-26,280.7699890136719,280.7699890136719,289.25,279.17999267578125,288.2099914550781,345100.0
2020-01-27,277.3099975585937,277.3099975585937,279.25,275.0199890136719,277.1499938964844,368700.0
2020-01-28,278.6400146484375,278.6400146484375,279.8099975585937,276.4800109863281,277.3500061035156,578900.0
2020-01-29,280.79998779296875,280.79998779296875,283.1400146484375,276.989990234375,279.79998779296875,363300.0
2020-01-30,283.7300109863281,283.7300109863281,283.989990234375,276.5199890136719,278.79998779296875,497700.0
2020-01-31,271.010009765625,271.010009765625,289.9599914550781,269.489990234375,280.1400146484375,910200.0
2020-02-01,271.010009765625,271.010009765625,289.9599914550781,269.489990234375,280.1400146484375,910200.0
2020-02-02,271.010009765625,271.010009765625,289.9599914550781,269.489990234375,280.1400146484375,910200.0
2020-02-03,275.7699890136719,275.7699890136719,281.5199890136719,274.25,276.0799865722656,569600.0
2020-02-04,279.1199951171875,279.1199951171875,285.9599914550781,277.82000732421875,280.5799865722656,492200.0
2020-02-05,274.3999938964844,274.3999938964844,282.1600036621094,272.8099975585937,281.8699951171875,510500.0
2020-02-06,280.6700134277344,280.6700134277344,281.3699951171875,274.42999267578125,275.2699890136719,542800.0
2020-02-07,278.3999938964844,278.3999938964844,281.0799865722656,277.70001220703125,280.5899963378906,239700.0
2020-02-08,278.3999938964844,278.3999938964844,281.0799865722656,277.70001220703125,280.5899963378906,239700.0
2020-02-09,278.3999938964844,278.3999938964844,281.0799865722656,277.70001220703125,280.5899963378906,239700.0
2020-02-10,279.1499938964844,279.1499938964844,279.6499938964844,276.94000244140625,277.94000244140625,348200.0
2020-02-11,283.3800048828125,283.3800048828125,284.3599853515625,280.0400085449219,280.3299865722656,293100.0
2020-02-12,283.2799987792969,283.2799987792969,285.8800048828125,280.3399963378906,284.2099914550781,314500.0
2020-02-13,285.04998779296875,285.04998779296875,286.5,281.8500061035156,283.1600036621094,283900.0
2020-02-14,288.7799987792969,288.7799987792969,289.010009765625,283.3999938964844,285.2699890136719,286800.0
2020-02-15,288.7799987792969,288.7799987792969,289.010009765625,283.3999938964844,285.2699890136719,286800.0
2020-02-16,288.7799987792969,288.7799987792969,289.010009765625,283.3999938964844,285.2699890136719,286800.0
2020-02-17,288.7799987792969,288.7799987792969,289.010009765625,283.3999938964844,285.2699890136719,286800.0
2020-02-18,286.75,286.75,289.3500061035156,285.760009765625,288.3800048828125,455300.0
2020-02-19,290.9700012207031,290.9700012207031,296.25,288.0,288.0,734100.0
2020-02-20,281.45001220703125,281.45001220703125,292.9700012207031,278.5,290.2200012207031,696500.0
2020-02-21,278.1099853515625,278.1099853515625,281.489990234375,276.7900085449219,280.6400146484375,443300.0
2020-02-22,278.1099853515625,278.1099853515625,281.489990234375,276.7900085449219,280.6400146484375,443300.0
2020-02-23,278.1099853515625,278.1099853515625,281.489990234375,276.7900085449219,280.6400146484375,443300.0
2020-02-24,269.8099975585937,269.8099975585937,275.6099853515625,267.3599853515625,274.4700012207031,595400.0
2020-02-25,256.7099914550781,256.7099914550781,272.0199890136719,255.3500061035156,270.2200012207031,649000.0
2020-02-26,259.45001220703125,259.45001220703125,265.7699890136719,258.239990234375,258.6499938964844,583900.0
2020-02-27,250.1499938964844,250.1499938964844,261.7200012207031,250.0,255.94000244140625,610100.0
2020-02-28,254.50999450683597,254.50999450683597,254.94000244140625,238.0399932861328,242.22000122070312,1614600.0
2020-02-29,254.50999450683597,254.50999450683597,254.94000244140625,238.0399932861328,242.22000122070312,1614600.0
2020-03-01,254.50999450683597,254.50999450683597,254.94000244140625,238.0399932861328,242.22000122070312,1614600.0
2020-03-02,261.989990234375,261.989990234375,262.3299865722656,247.6699981689453,254.92999267578125,700700.0
2020-03-03,251.25,251.25,263.7300109863281,247.6300048828125,259.25,728900.0
2020-03-04,263.0299987792969,263.0299987792969,263.3399963378906,251.0,256.07000732421875,602600.0
2020-03-05,255.16000366210935,255.16000366210935,260.010009765625,250.97000122070312,258.1700134277344,524400.0
2020-03-06,249.88999938964844,249.88999938964844,250.8300018310547,242.75,245.44000244140625,559200.0
2020-03-07,249.88999938964844,249.88999938964844,250.8300018310547,242.75,245.44000244140625,559200.0
2020-03-08,249.88999938964844,249.88999938964844,250.8300018310547,242.75,245.44000244140625,559200.0
2020-03-09,242.8300018310547,242.8300018310547,246.33999633789065,230.55999755859372,236.1000061035156,909800.0
2020-03-10,255.3600006103516,255.3600006103516,256.0,241.3500061035156,251.9900054931641,605500.0
2020-03-11,245.5800018310547,245.5800018310547,252.63999938964844,243.3699951171875,245.58999633789065,694300.0
2020-03-12,241.0,241.0,246.6699981689453,225.75,230.16000366210935,1405500.0
2020-03-13,254.1699981689453,254.1699981689453,255.5399932861328,230.3300018310547,243.50999450683597,1371000.0
2020-03-14,254.1699981689453,254.1699981689453,255.5399932861328,230.3300018310547,243.50999450683597,1371000.0
2020-03-15,254.1699981689453,254.1699981689453,255.5399932861328,230.3300018310547,243.50999450683597,1371000.0
2020-03-16,223.8300018310547,223.8300018310547,240.22999572753903,223.7100067138672,231.94000244140625,1332000.0
2020-03-17,215.8800048828125,215.8800048828125,236.8800048828125,208.41000366210935,228.92999267578125,1271000.0
2020-03-18,205.1300048828125,205.1300048828125,213.2899932861328,199.17999267578125,204.33999633789065,1569300.0
2020-03-19,193.17999267578125,193.17999267578125,207.9499969482422,185.02999877929688,204.0200042724609,1852300.0
2020-03-20,183.2899932861328,183.2899932861328,196.94000244140625,180.19000244140625,193.9499969482422,1539200.0
2020-03-21,183.2899932861328,183.2899932861328,196.94000244140625,180.19000244140625,193.9499969482422,1539200.0
2020-03-22,183.2899932861328,183.2899932861328,196.94000244140625,180.19000244140625,193.9499969482422,1539200.0
2020-03-23,182.94000244140625,182.94000244140625,187.25,168.64999389648438,181.9600067138672,1386200.0
2020-03-24,204.9900054931641,204.9900054931641,207.05999755859372,186.72999572753903,190.3800048828125,1065900.0
2020-03-25,214.22999572753903,214.22999572753903,223.8500061035156,200.66000366210935,204.77999877929688,892300.0
2020-03-26,230.3800048828125,230.3800048828125,232.47999572753903,212.1999969482422,213.05999755859372,740500.0
2020-03-27,231.75,231.75,237.0500030517578,223.5399932861328,223.5399932861328,857900.0
2020-03-28,231.75,231.75,237.0500030517578,223.5399932861328,223.5399932861328,857900.0
2020-03-29,231.75,231.75,237.0500030517578,223.5399932861328,223.5399932861328,857900.0
2020-03-30,241.0200042724609,241.0200042724609,244.27999877929688,230.50999450683597,235.8999938964844,805200.0
2020-03-31,242.2400054931641,242.2400054931641,256.6499938964844,239.16000366210935,239.3699951171875,1175500.0
2020-04-01,230.66000366210935,230.66000366210935,239.27999877929688,227.6999969482422,237.80999755859372,940600.0
2020-04-02,239.6999969482422,239.6999969482422,240.75999450683597,226.0200042724609,226.0200042724609,786700.0
2020-04-03,234.5500030517578,234.5500030517578,244.0,233.25,237.8800048828125,946400.0
2020-04-04,234.5500030517578,234.5500030517578,244.0,233.25,237.8800048828125,946400.0
2020-04-05,234.5500030517578,234.5500030517578,244.0,233.25,237.8800048828125,946400.0
2020-04-06,254.42999267578125,254.42999267578125,255.63999938964844,243.3699951171875,246.25999450683597,743300.0
2020-04-07,251.7400054931641,251.7400054931641,264.989990234375,247.63999938964844,260.6600036621094,723700.0
2020-04-08,254.72999572753903,254.72999572753903,256.25,244.97999572753903,249.4199981689453,820200.0
2020-04-09,258.5799865722656,258.5799865722656,261.0599975585937,252.8699951171875,256.0199890136719,633300.0
2020-04-10,258.5799865722656,258.5799865722656,261.0599975585937,252.8699951171875,256.0199890136719,633300.0
2020-04-11,258.5799865722656,258.5799865722656,261.0599975585937,252.8699951171875,256.0199890136719,633300.0
2020-04-12,258.5799865722656,258.5799865722656,261.0599975585937,252.8699951171875,256.0199890136719,633300.0
2020-04-13,254.38999938964844,254.38999938964844,257.1499938964844,246.3999938964844,254.72999572753903,402700.0
2020-04-14,263.010009765625,263.010009765625,264.9800109863281,254.3999938964844,256.239990234375,486500.0
2020-04-15,257.82000732421875,257.82000732421875,260.9700012207031,251.22000122070312,255.0200042724609,443900.0
2020-04-16,261.1199951171875,261.1199951171875,266.3299865722656,258.0,261.1300048828125,421300.0
2020-04-17,265.1600036621094,265.1600036621094,268.2900085449219,260.6300048828125,268.2900085449219,416300.0
2020-04-18,265.1600036621094,265.1600036621094,268.2900085449219,260.6300048828125,268.2900085449219,416300.0
2020-04-19,265.1600036621094,265.1600036621094,268.2900085449219,260.6300048828125,268.2900085449219,416300.0
2020-04-20,267.3399963378906,267.3399963378906,273.2799987792969,262.010009765625,263.3800048828125,471500.0
2020-04-21,259.2300109863281,259.2300109863281,265.3800048828125,256.42999267578125,263.0,428400.0
2020-04-22,268.1199951171875,268.1199951171875,269.8699951171875,261.19000244140625,261.7200012207031,521300.0
2020-04-23,268.4100036621094,268.4100036621094,274.6000061035156,267.2300109863281,268.1400146484375,422800.0
2020-04-24,271.79998779296875,271.79998779296875,274.32000732421875,268.17999267578125,271.54998779296875,416100.0
2020-04-25,271.79998779296875,271.79998779296875,274.32000732421875,268.17999267578125,271.54998779296875,416100.0
2020-04-26,271.79998779296875,271.79998779296875,274.32000732421875,268.17999267578125,271.54998779296875,416100.0
2020-04-27,275.8500061035156,275.8500061035156,278.8500061035156,269.0299987792969,271.9700012207031,559100.0
2020-04-28,264.25,264.25,276.95001220703125,263.95001220703125,275.0,582600.0
