Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-02-13 00:00:00-05:00,1.6008166830048307,1.6758549650206822,1.6008166830048307,1.6383358240127563,18506400,0.0,0.0
1992-02-14 00:00:00-05:00,1.6508423586686451,1.825931699739562,1.6508423586686451,1.8009189367294312,3128000,0.0,0.0
1992-02-18 00:00:00-05:00,1.7759065050067324,1.8259320403590347,1.6508426666259766,1.6508426666259766,2584800,0.0,0.0
1992-02-19 00:00:00-05:00,1.6758541715317878,1.7258796691894531,1.6258286738741226,1.7258796691894531,2454400,0.0,0.0
1992-02-20 00:00:00-05:00,1.7008667730949294,1.825930506410733,1.7008667730949294,1.7759050130844116,1304000,0.0,0.0
1992-02-21 00:00:00-05:00,1.7759069547261277,1.825932502746582,1.7759069547261277,1.825932502746582,616800,0.0,0.0
1992-02-24 00:00:00-05:00,1.775906456483377,1.8509447574615479,1.775906456483377,1.8509447574615479,772800,0.0,0.0
1992-02-25 00:00:00-05:00,1.8134261157414684,1.850945276756809,1.8009197287363548,1.825932502746582,517600,0.0,0.0
1992-02-26 00:00:00-05:00,1.8509430758158365,1.8759558200836182,1.8009175872802734,1.8759558200836182,851200,0.0,0.0
1992-02-27 00:00:00-05:00,1.8259322287200332,1.9509960800022272,1.8259322287200332,1.9259833097457886,555200,0.0,0.0
1992-02-28 00:00:00-05:00,1.9509951273600261,2.0760589175754123,1.9009696112738714,2.026033401489258,1108800,0.0,0.0
1992-03-02 00:00:00-05:00,2.076060580044258,2.088566969080669,1.9760094677529685,2.0510478019714355,873600,0.0,0.0
1992-03-03 00:00:00-05:00,2.038540819023229,2.0510472044160095,1.9509961212737652,1.9760088920593262,512000,0.0,0.0
1992-03-04 00:00:00-05:00,1.976008448845301,2.026033979195815,1.950995683670044,1.950995683670044,163200,0.0,0.0
1992-03-05 00:00:00-05:00,2.0260322856903077,2.0260322856903077,1.8759558200836182,1.8759558200836182,707200,0.0,0.0
1992-03-06 00:00:00-05:00,1.9134749364852905,1.950994052886963,1.8759558200836182,1.8759558200836182,765600,0.0,0.0
1992-03-09 00:00:00-05:00,1.8759573207182043,1.9509956135469324,1.8759573207182043,1.9134764671325684,766400,0.0,0.0
1992-03-10 00:00:00-05:00,1.875957388144273,1.950995683670044,1.875957388144273,1.950995683670044,93600,0.0,0.0
1992-03-11 00:00:00-05:00,2.001020832426229,2.026033592831557,1.9509953116155734,1.9635016918182373,222400,0.0,0.0
1992-03-12 00:00:00-05:00,1.950995683670044,2.026033979195815,1.950995683670044,1.950995683670044,89600,0.0,0.0
1992-03-13 00:00:00-05:00,1.9509951273600261,2.051046159532335,1.9509951273600261,2.026033401489258,211200,0.0,0.0
1992-03-16 00:00:00-05:00,2.0010222458257907,2.0510478019714355,2.0010222458257907,2.0510478019714355,94400,0.0,0.0
1992-03-17 00:00:00-05:00,1.9760088920593262,2.0510472044160095,1.9760088920593262,1.9760088920593262,150400,0.0,0.0
1992-03-18 00:00:00-05:00,1.9760088920593262,1.9760088920593262,1.9760088920593262,1.9760088920593262,52000,0.0,0.0
1992-03-19 00:00:00-05:00,2.051046744371072,2.051046744371072,1.950995683670044,1.950995683670044,68800,0.0,0.0
1992-03-20 00:00:00-05:00,1.9509951273600261,2.026033401489258,1.9509951273600261,2.026033401489258,124800,0.0,0.0
1992-03-23 00:00:00-05:00,1.950994464586366,2.013526338451314,1.950994464586366,1.9885135889053345,314400,0.0,0.0
1992-03-24 00:00:00-05:00,1.976008448845301,2.0135275966081867,1.950995683670044,1.950995683670044,437600,0.0,0.0
