Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17 00:00:00-05:00,0.4477981626987457,0.46994203654934324,0.4477981626987457,0.4477981626987457,378125,0.0,0.0
1980-03-18 00:00:00-05:00,0.4477980040198746,0.4477980040198746,0.4354958725347401,0.4428771734237671,215625,0.0,0.0
1980-03-19 00:00:00-05:00,0.4428771734237671,0.4527188712792259,0.4428771734237671,0.4428771734237671,153125,0.0,0.0
1980-03-20 00:00:00-05:00,0.4428771734237671,0.4477980040198746,0.4428771734237671,0.4428771734237671,43750,0.0,0.0
1980-03-21 00:00:00-05:00,0.44287743519256634,0.44287743519256634,0.4231939911842346,0.4231939911842346,556250,0.0,0.0
1980-03-24 00:00:00-05:00,0.4231938883554813,0.42565428617833156,0.3887478788764982,0.3936687111854553,384375,0.0,0.0
1980-03-25 00:00:00-05:00,0.3838267883056537,0.3838267883056537,0.36414336044408924,0.37890592217445374,325000,0.0,0.0
1980-03-26 00:00:00-05:00,0.38136657541817753,0.3936687111854554,0.38136657541817753,0.3936687111854553,100000,0.0,0.0
1980-03-27 00:00:00-05:00,0.38382685918138876,0.38382685918138876,0.36660386120510324,0.3715246915817261,512500,0.0,0.0
1980-03-28 00:00:00-05:00,0.3789061409320707,0.3936687111854554,0.3789061409320707,0.3936687111854553,246875,0.0,0.0
1980-03-31 00:00:00-05:00,0.3936687111854554,0.3936687111854554,0.3862874443903913,0.3936687111854553,62500,0.0,0.0
1980-04-01 00:00:00-05:00,0.3936687111854554,0.3985895801576691,0.3936687111854554,0.3936687111854553,50000,0.0,0.0
1980-04-02 00:00:00-05:00,0.39366856794189053,0.40843113282364385,0.39366856794189053,0.40351030230522156,128125,0.0,0.0
1980-04-03 00:00:00-05:00,0.4035103898963518,0.4084312214829528,0.39858952164649963,0.39858952164649963,128125,0.0,0.0
1980-04-07 00:00:00-05:00,0.3961290273596746,0.3961290273596746,0.3813664615154266,0.38136646151542664,265625,0.0,0.0
1980-04-08 00:00:00-05:00,0.3813663629596207,0.3887476623058319,0.37890592984421695,0.3887476623058319,96875,0.0,0.0
1980-04-09 00:00:00-05:00,0.3912082766993485,0.3961291456715622,0.3912082766993485,0.3936687111854553,50000,0.0,0.0
1980-04-10 00:00:00-05:00,0.39366856794189053,0.40351030230522156,0.39366856794189053,0.40351030230522156,53125,0.0,0.0
1980-04-11 00:00:00-05:00,0.4035104058024198,0.4035104058024198,0.3961291031366763,0.40104997158050537,243750,0.0,0.0
1980-04-14 00:00:00-05:00,0.396128924988807,0.396128924988807,0.3887476623058319,0.3887476623058319,162500,0.0,0.0
1980-04-15 00:00:00-05:00,0.3887478093438061,0.3936686407726074,0.3838269412517547,0.38382694125175476,37500,0.0,0.0
1980-04-16 00:00:00-05:00,0.39674414105206424,0.39674414105206424,0.3844420085119218,0.3875175416469574,142500,0.0,1.25
1980-04-17 00:00:00-05:00,0.38444199453867633,0.38444199453867633,0.37521539546892707,0.38136646151542664,182500,0.0,0.0
1980-04-18 00:00:00-05:00,0.3813664398640568,0.38751750556134107,0.3721398413181305,0.3721398413181305,397500,0.0,0.0
1980-04-21 00:00:00-05:00,0.3721398413181305,0.37829090701541473,0.3721398413181305,0.3721398413181305,25000,0.0,0.0
1980-04-22 00:00:00-05:00,0.37521534421531616,0.39674407243728643,0.37521534421531616,0.3967440724372864,390000,0.0,0.0
1980-04-23 00:00:00-05:00,0.39674435126060326,0.40289542078971863,0.3936688164960456,0.40289542078971863,505000,0.0,0.0
1980-04-24 00:00:00-05:00,0.4028951376435636,0.4028951376435636,0.3936685398341478,0.3967440724372864,232500,0.0,0.0
1980-04-25 00:00:00-05:00,0.3967440502694344,0.39981958270072937,0.39366851783813944,0.39981958270072937,147500,0.0,0.0
1980-04-28 00:00:00-04:00,0.3998196790336685,0.40904631521386653,0.3998196790336685,0.4059707820415497,167500,0.0,0.0
1980-04-29 00:00:00-04:00,0.4059709922175427,0.40904652698210037,0.40289542078971863,0.40289542078971863,35000,0.0,0.0
1980-04-30 00:00:00-04:00,0.4028952122059854,0.40904631521386653,0.3998196790336685,0.4059707820415497,102500,0.0,0.0
1980-05-01 00:00:00-04:00,0.4059706842265578,0.4059706842265578,0.39981958270072937,0.39981958270072937,217500,0.0,0.0
1980-05-02 00:00:00-04:00,0.399819605040425,0.4028951376435636,0.3936685398341478,0.3967440724372864,222500,0.0,0.0
1980-05-05 00:00:00-04:00,0.3967440502694344,0.39981958270072937,0.3905929854068445,0.39981958270072937,267500,0.0,0.0
1980-05-06 00:00:00-04:00,0.3967442451272748,0.3967442451272748,0.3936687111854554,0.3936687111854553,87500,0.0,0.0
1980-05-07 00:00:00-04:00,0.3936687111854554,0.3936687111854554,0.384442109359997,0.3936687111854553,137500,0.0,0.0
1980-05-08 00:00:00-04:00,0.3936687650872616,0.3936687650872616,0.38751769636140776,0.3905932307243347,110000,0.0,0.0
1980-05-09 00:00:00-04:00,0.39059306774037167,0.3967441338995514,0.384442001581192,0.384442001581192,65000,0.0,0.0
1980-05-12 00:00:00-04:00,0.3905929854068445,0.4059706842265578,0.3905929854068445,0.39981958270072937,180000,0.0,0.0
1980-05-13 00:00:00-04:00,0.3998196790336685,0.4059707820415497,0.3967441458613516,0.4059707820415497,75000,0.0,0.0
1980-05-14 00:00:00-04:00,0.40597069310121314,0.41827282309532166,0.39981959144091955,0.41827282309532166,407500,0.0,0.0
1980-05-15 00:00:00-04:00,0.41827282309532166,0.42134835559384876,0.41519729059679455,0.41827282309532166,145000,0.0,0.0
1980-05-16 00:00:00-04:00,0.4182729261216734,0.4244239926338196,0.4151973928656003,0.4244239926338196,147500,0.0,0.0
1980-05-19 00:00:00-04:00,0.4274995589859505,0.44287726312007175,0.4274995589859505,0.4398016929626465,320000,0.0,0.0
1980-05-20 00:00:00-04:00,0.4398014371593793,0.4797833859920501,0.43672590545403767,0.47978338599205017,400000,0.0,0.0
1980-05-21 00:00:00-04:00,0.47978372505916295,0.47978372505916295,0.4644060556649292,0.4705571234226227,295000,0.0,0.0
1980-05-22 00:00:00-04:00,0.47055701329554717,0.47055701329554717,0.4613304138183594,0.4613304138183594,155000,0.0,0.0
1980-05-23 00:00:00-04:00,0.4644060199124593,0.4828592584281662,0.4644060199124593,0.4674815535545349,142500,0.0,0.0
1980-05-27 00:00:00-04:00,0.4736323952674866,0.485934560640038,0.4736323952674866,0.4736323952674866,195000,0.0,0.0
1980-05-28 00:00:00-04:00,0.4736323225813669,0.48285895436062165,0.4736323225813669,0.47978338599205017,142500,0.0,0.0
1980-05-29 00:00:00-04:00,0.4797833859920501,0.4890100177713049,0.47670785428670853,0.47978338599205017,262500,0.0,0.0
1980-05-30 00:00:00-04:00,0.4797833859920501,0.48285895436062165,0.4736323225813669,0.47978338599205017,100000,0.0,0.0
1980-06-02 00:00:00-04:00,0.47978345962214447,0.47978345962214447,0.4736323952674866,0.4736323952674866,35000,0.0,0.0
1980-06-03 00:00:00-04:00,0.473632580765327,0.4767081141471863,0.4705570473834677,0.4767081141471863,372500,0.0,0.0
1980-06-04 00:00:00-04:00,0.47670792744481555,0.47670792744481555,0.4705568630901576,0.4736323952674866,277500,0.0,0.0
1980-06-05 00:00:00-04:00,0.47670800269246444,0.5043878333208807,0.47670800269246444,0.495161235332489,320000,0.0,0.0
1980-06-06 00:00:00-04:00,0.49516132904175186,0.5136145285108025,0.4920857957969101,0.5105389952659607,535000,0.0,0.0
1980-06-09 00:00:00-04:00,0.5105389427983095,0.535143242891729,0.5105389427983095,0.5136144757270813,425000,0.0,0.0
1980-06-10 00:00:00-04:00,0.5136145819343256,0.5136145819343256,0.5074635148048401,0.5074635148048401,132500,0.0,0.0
1980-06-11 00:00:00-04:00,0.5074635339596391,0.5166901350021362,0.5074635339596391,0.5166901350021362,212500,0.0,0.0
1980-06-12 00:00:00-04:00,0.5166900617556442,0.5197656316637342,0.5105389952659607,0.5105389952659607,410000,0.0,0.0
