ticker,date,vader_sentiment_mean,finbert_sentiment_mean,article_count
AAPL,2025-10-31,0.18673846153846155,0.19154876929063064,26
AAPL,2025-11-02,0.16140833333333335,-0.1634198526541392,12
AAPL,2025-11-03,0.14678333333333335,-0.02723518841796451,18
AAPL,2025-11-04,-0.03987777777777777,-0.2114653786023458,9
AAPL,2025-11-05,0.01307777777777778,-0.2936368054813809,9
AAPL,2025-11-06,0.13898181818181818,0.08553813804279674,11
AAPL,2025-11-07,-0.16999999999999998,-0.2836040386131832,7
AAPL,2025-11-08,0.248475,0.205186665058136,4
AAPL,2025-11-09,0.21906666666666666,0.1754619280497233,3
ABNB,2025-10-15,-0.8957,-0.6034619808197021,1
ABNB,2025-10-22,0.0,-0.9518730640411377,1
ABNB,2025-10-30,-0.128,-0.5248903036117554,1
ABNB,2025-10-31,0.4767,0.8227499723434448,1
ABNB,2025-11-02,-0.039075,-0.4474920183420181,4
ABNB,2025-11-03,0.288325,-0.08782651275396347,4
ABNB,2025-11-04,0.07153333333333335,-0.33165520429611206,3
ABNB,2025-11-05,0.004150000000000001,-0.06053280830383301,4
ABNB,2025-11-06,-0.10657499999999999,-0.5660888701677322,12
ABNB,2025-11-07,-0.2753111111111111,-0.5191330744160546,9
ADBE,2025-10-15,0.0,0.0,1
ADBE,2025-10-18,0.8402,0.0,1
ADBE,2025-10-20,0.296,0.8692845702171326,1
ADBE,2025-10-21,0.3762,-0.02255299687385559,4
ADBE,2025-10-22,0.0,0.0,2
ADBE,2025-10-24,0.148,0.3693995177745819,2
ADBE,2025-10-26,0.0,0.0,1
ADBE,2025-10-27,0.296,0.4346422851085663,2
ADBE,2025-10-28,0.059199999999999996,0.15781952142715455,5
ADBE,2025-10-29,0.296,0.8692845702171326,1
ADBE,2025-10-30,0.1686,0.07686394453048706,5
ADBE,2025-10-31,0.12878333333333333,0.26818522810935974,6
ADBE,2025-11-02,0.50615,0.25772517919540405,2
ADBE,2025-11-04,0.0,0.0,3
ADBE,2025-11-06,0.0,0.0,1
ADBE,2025-11-07,0.3612,0.0,1
ADBE,2025-11-08,0.0,0.0,1
ADI,2025-10-22,0.4215,0.0,1
ADI,2025-10-23,0.12745,0.0,4
ADI,2025-10-24,0.0,0.0,2
ADI,2025-10-25,-0.1589,-0.31420276562372845,3
ADI,2025-10-27,0.15293333333333334,0.0,3
ADI,2025-10-28,0.21337142857142857,0.0,7
ADI,2025-10-29,0.09576666666666667,-0.06902615229288737,3
ADI,2025-10-30,0.1776333333333333,0.26168471574783325,6
ADI,2025-10-31,-0.28578571428571425,-0.009825774601527624,7
ADI,2025-11-01,0.3033666666666667,0.0,3
ADI,2025-11-03,-0.2449777777777778,-0.24093417988883126,9
ADI,2025-11-04,0.04061428571428572,-0.2701878377369472,7
ADI,2025-11-05,0.30395,0.2984185963869095,8
ADI,2025-11-06,0.09587999999999999,0.08325334787368774,10
ADI,2025-11-07,0.123025,0.09247548133134842,8
ADI,2025-11-08,0.01048571428571429,-0.37971161944525583,7
ADI,2025-11-09,0.014485714285714284,-0.22753935200827463,7
ADI,2025-11-10,0.0,0.0,2
ADP,2025-11-05,0.09306428571428571,-0.008983735527311052,28
ADP,2025-11-06,-0.005686486486486489,-0.2716196549905313,37
ADP,2025-11-07,-0.3208166666666667,-0.7333056198226081,18
ADP,2025-11-08,-0.07636,-0.3448155403137207,5
ADP,2025-11-09,0.008316666666666667,-0.31365249554316205,6
ADP,2025-11-10,0.0,0.0,1
ADSK,2025-10-13,0.0,0.8884745240211487,1
ADSK,2025-10-14,0.0,-0.6834283471107483,1
ADSK,2025-10-15,0.0,0.5410181879997253,1
ADSK,2025-10-22,0.2263,0.0,1
ADSK,2025-10-27,0.7506,0.6208866238594055,1
ADSK,2025-10-28,0.0,0.0,1
ADSK,2025-11-06,0.0,0.9559265375137329,1
AEP,2025-10-13,-0.04943333333333333,0.5222181677818298,3
AEP,2025-10-14,0.1636,-0.03884810209274292,2
AEP,2025-10-15,0.0,0.0,1
AEP,2025-10-16,0.36064666666666667,0.7389311194419861,15
AEP,2025-10-17,0.35233333333333333,0.31663936376571655,3
AEP,2025-10-18,0.0,0.0,1
AEP,2025-10-20,0.5106,0.9169825911521912,1
AEP,2025-10-21,0.1366,0.0,2
AEP,2025-10-22,-0.3753,-0.38208481669425964,2
AEP,2025-10-23,0.42595,0.0,2
AEP,2025-10-24,0.6908,0.9148605465888977,1
AEP,2025-10-25,0.0772,0.0,1
AEP,2025-10-26,0.3404,0.46629226207733154,2
AEP,2025-10-27,0.34735,0.07732683420181274,2
AEP,2025-10-28,0.4215,0.7664956450462341,1
AEP,2025-10-29,0.04073333333333332,0.21634415785471597,3
AEP,2025-10-30,0.17020000000000002,0.626375695069631,3
AEP,2025-10-31,0.25,0.0,1
AEP,2025-11-01,0.1027,0.0,1
AEP,2025-11-03,0.08843333333333332,0.15082224210103354,6
AEP,2025-11-04,0.0,0.0,2
AEP,2025-11-05,0.1531,0.0,1
AEP,2025-11-06,0.0,0.0,2
AEP,2025-11-09,0.3612,0.7651314437389374,2
AMAT,2025-10-13,0.102,0.2984611913561821,8
AMAT,2025-10-14,0.25,0.0,2
AMAT,2025-10-15,0.237725,0.3127214312553406,8
AMAT,2025-10-16,0.0,0.0,1
AMAT,2025-10-17,-0.14195,0.3325086832046509,4
AMAT,2025-10-18,0.10115,0.20391179621219635,4
AMAT,2025-10-19,0.14286666666666667,0.23510770003000894,3
AMAT,2025-10-22,0.3715,0.0,2
AMAT,2025-10-23,0.0,-0.10954824090003967,2
AMAT,2025-10-24,0.0,-0.592366635799408,1
AMAT,2025-10-27,0.19326666666666667,-0.3148789207140605,3
AMAT,2025-10-28,-0.08779999999999999,0.0,2
AMAT,2025-10-29,-0.26716666666666666,-0.29288631677627563,3
AMAT,2025-10-30,0.0,0.0,1
AMAT,2025-10-31,0.1779,0.0,1
AMAT,2025-11-04,-0.296,-0.9697656035423279,1
AMAT,2025-11-05,0.6603,0.8139885365962982,2
AMAT,2025-11-06,-0.33580000000000004,-0.956354558467865,3
AMAT,2025-11-07,0.1531,0.9431337714195251,1
AMAT,2025-11-08,0.4141333333333333,0.0,3
AMAT,2025-11-09,-0.21075,0.0,2
AMD,2025-11-08,0.0773159090909091,-0.030051135204055092,44
AMD,2025-11-09,0.188305,0.0608687162399292,40
AMD,2025-11-10,0.05465000000000001,-0.060900436980383735,14
AMGN,2025-10-14,0.0,0.0,1
AMGN,2025-10-16,0.7096,0.9092715382575989,1
AMGN,2025-10-26,0.0,0.0,1
AMGN,2025-10-31,0.0,0.0,1
AMGN,2025-11-02,-0.0607,-0.27897385756174725,3
AMGN,2025-11-03,0.04026666666666667,-0.028427342573801678,3
AMGN,2025-11-04,-0.111375,-0.9431014806032181,4
AMGN,2025-11-05,0.50285,0.2145618349313736,4
AMGN,2025-11-06,0.0,0.43546101450920105,2
AMZN,2025-11-07,-0.04265434782608696,-0.10299664606218753,46
AMZN,2025-11-08,-0.08745897435897436,-0.04809025464913784,39
AMZN,2025-11-09,0.168925,-0.06023463110129038,12
AMZN,2025-11-10,0.0,0.0,3
APP,2025-11-10,0.015008080808080805,-0.0898826579854946,99
ARM,2025-11-09,-0.013997222222222216,0.02136171029673682,36
ARM,2025-11-10,0.022562295081967214,-0.0624929744689191,61
ASML,2025-10-19,0.054800000000000015,0.2966431776682536,3
ASML,2025-10-20,-0.0853142857142857,-0.2694598691804068,7
ASML,2025-10-21,0.33086000000000004,-0.1290414810180664,5
ASML,2025-10-22,0.13634545454545455,-0.2741836661642248,11
ASML,2025-10-23,-0.2786666666666667,-0.3141304850578308,3
ASML,2025-10-24,-0.00520000000000002,0.30953866243362427,3
ASML,2025-10-25,0.17,0.0,2
ASML,2025-10-26,-0.04016666666666666,-0.24977709849675497,3
ASML,2025-10-27,0.49416666666666664,0.0,3
ASML,2025-10-28,0.09327857142857143,0.22653021131243026,14
ASML,2025-10-29,-0.03679090909090909,0.42233440009030426,11
ASML,2025-10-30,0.3646666666666667,0.5335131585597992,6
ASML,2025-10-31,0.4543333333333333,0.6049488186836243,3
ASML,2025-11-01,0.6249,0.0,1
ASML,2025-11-03,0.04810000000000002,0.23540660738945007,4
ASML,2025-11-04,0.40080000000000005,0.3981754779815674,2
ASML,2025-11-05,-0.048660000000000016,-0.3844220757484436,5
ASML,2025-11-06,0.08333333333333333,0.5542862216631571,3
ASML,2025-11-07,-0.15631666666666666,-0.1581632395585378,6
ASML,2025-11-08,0.31845,0.0,2
ASML,2025-11-09,0.0,0.0,1
ASML,2025-11-10,-0.42745,-0.04347488284111023,2
AVGO,2025-10-16,0.0,0.7373379468917847,1
AVGO,2025-10-17,-0.0714625,0.13811776787042618,8
AVGO,2025-10-18,0.26335,0.6403660178184509,2
AVGO,2025-10-20,0.11333333333333334,0.3117342988650004,3
AVGO,2025-10-21,0.1768375,0.09172724187374115,8
AVGO,2025-10-22,0.13396666666666665,0.0,3
AVGO,2025-10-23,0.016041666666666673,0.13988673190275827,12
AVGO,2025-10-24,0.38556666666666667,0.7704499761263529,3
AVGO,2025-10-25,-0.1909,-0.42262792587280273,2
AVGO,2025-10-26,0.07415,0.2990359961986542,2
AVGO,2025-10-27,0.2282625,0.17923035472631454,8
AVGO,2025-10-28,0.026111111111111116,-0.05892866849899292,9
AVGO,2025-10-29,-0.05781428571428572,-0.1840195826121739,7
AVGO,2025-10-30,-0.014225000000000002,0.0,4
AVGO,2025-10-31,0.17157142857142857,-0.004492427621568952,7
